漢方名,ひらがな,フリガナ,検索用,配合生薬
防已茯苓湯,ぼういぶくりょうとう,ボウイブクリョウトウ,防已茯苓湯(ぼういぶくりょうとう),防已、黄耆、桂皮、茯苓、甘草
防風通聖散,ぼうふうつうしょうさん,ボウフウツウショウサン,防風通聖散(ぼうふうつうしょうさん),防風、荊芥、麻黄、薄荷、大黄、芒硝、石膏、黄芩、連翹、桔梗、山梔子、滑石、当帰、芍薬、川芎、白朮、生姜、甘草
補気建中湯,ほきけんちゅうとう,ホキケンチュウトウ,補気建中湯(ほきけんちゅうとう),白朮、茯苓、陳皮、人参、黄芩、厚朴、沢瀉、麦門冬
補中益気湯,ほちゅうえっきとう,ホチュウエッキトウ,補中益気湯(ほちゅうえっきとう),人参、白朮、黄耆、当帰、陳皮、大棗、柴胡、甘草、生姜、升麻
補陽還五湯,ほようかんごとう,ホヨウカンゴトウ,補陽還五湯(ほようかんごとう),当帰、芍薬、川芎、桃仁、紅花、黄耆、地竜
麻黄湯,まおうとう,マオウトウ,麻黄湯(まおうとう),麻黄、桂皮、杏仁、甘草
麻黄附子細辛湯,まおうぶしさいしんとう,マオウブシサイシントウ,麻黄附子細辛湯(まおうぶしさいしんとう),麻黄、附子、細辛
麻杏甘石湯,まきょうかんせきとう,マキョウカンセキトウ,麻杏甘石湯(まきょうかんせきとう),麻黄、杏仁、甘草、石膏
麻杏薏甘湯,まきょうよくかんとう,マキョウヨクカントウ,麻杏薏甘湯(まきょうよくかんとう),麻黄、杏仁、薏苡仁、甘草
麻子仁丸,ましにんがん,マシニンガン,麻子仁丸(ましにんがん),麻子仁、大黄、枳実、厚朴、杏仁、芍薬
木防已湯,もくぼういとう,モクボウイトウ,木防已湯(もくぼういとう),石膏、防已、桂皮、人参
薏苡仁湯,よくいにんとう,ヨクイニントウ,薏苡仁湯(よくいにんとう),薏苡仁、麻黄、白朮、桂皮、当帰、芍薬、甘草
抑肝散,よくかんさん,ヨクカンサン,抑肝散(よくかんさん),当帰、川芎、茯苓、白朮、柴胡、甘草、釣藤鈎
抑肝散加陳皮半夏,よくかんさんかちんぴはんげ,ヨクカンサンカチンピハンゲ,抑肝散加陳皮半夏(よくかんさんかちんぴはんげ),当帰、川芎、茯苓、白朮、柴胡、甘草、釣藤鈎、陳皮、半夏
六君子湯,りっくんしとう,リックンシトウ,六君子湯(りっくんしとう),人参、白朮、茯苓、半夏、陳皮、甘草、生姜、大棗
立効散,りっこうさん,リッコウサン,立効散(りっこうさん),細辛、升麻、甘草、防風、竜胆
竜胆瀉肝湯,りゅうたんしゃかんとう,リュウタンシャカントウ,竜胆瀉肝湯(りゅうたんしゃかんとう),竜胆、黄芩、山梔子、沢瀉、木通、車前子、当帰、地黄、甘草
苓甘姜味辛夏仁湯,りょうかんきょうみしんげにんとう,リョウカンキョウミシンゲニントウ,苓甘姜味辛夏仁湯(りょうかんきょうみしんげにんとう),半夏、杏仁、五味子、茯苓、細辛、乾姜、甘草
苓姜朮甘湯,りょうきょうじゅつかんとう,リョウキョウジュツカントウ,苓姜朮甘湯(りょうきょうじゅつかんとう),茯苓、乾姜、白朮、甘草
苓桂甘棗湯,りょうけいかんそうとう,リョウケイカンソウトウ,苓桂甘棗湯(りょうけいかんそうとう),茯苓、桂皮、大棗、甘草
苓桂朮甘湯,りょうけいじゅつかんとう,リョウケイジュツカントウ,苓桂朮甘湯(りょうけいじゅつかんとう),茯苓、桂皮、白朮、甘草
麗沢通気湯加辛夷,れいたくつうきとうかしんい,レイタクツウキトウカシンイ,麗沢通気湯加辛夷(れいたくつうきとうかしんい),升麻、葛根、山椒、独活、防風、白芷、羌活、辛夷、麻黄、蒼朮、生姜、黄耆、大棗、甘草
六味地黄丸,ろくみじおうがん,ロクミジオウガン,六味地黄丸(ろくみじおうがん),地黄、山茱萸、山薬、沢瀉、茯苓、牡丹皮
