漢方名,ひらがな,フリガナ,検索用,配合生薬
香砂養胃湯,こうしゃよういとう,コウシャヨウイトウ,香砂養胃湯(こうしゃよういとう),白朮、茯苓、蒼朮、厚朴、陳皮、香附子、白豆蔲、人参、木香、縮砂、甘草、大棗、生姜
香砂六君子湯,こうしゃりっくんしとう,コウシャリックンシトウ,香砂六君子湯(こうしゃりっくんしとう),人参、白朮、茯苓、甘草、半夏、陳皮、大棗、生姜、香附子、縮砂、藿香
香蘇散,こうそさん,コウソサン,香蘇散(こうそさん),蘇葉、香附子、陳皮、甘草、生姜
厚朴生姜半夏人参甘草湯,こうぼくしょうきょうはんげにんじんかんぞうとう,コウボクショウキョウハンゲニンジンカンゾウトウ,厚朴生姜半夏人参甘草湯(こうぼくしょうきょうはんげにんじんかんぞうとう),厚朴、生姜、半夏、人参、甘草
杞菊地黄丸,こぎくじおうがん,コギクジオウガン,杞菊地黄丸(こぎくじおうがん),枸杞子、菊花、地黄、山茱萸、山薬、沢瀉、茯苓、牡丹皮
五虎湯,ごことう,ゴコトウ,五虎湯(ごことう),麻黄、杏仁、石膏、甘草、桑白皮
牛膝散,ごしつさん,ゴシツサン,牛膝散(ごしつさん),牛膝、桂皮、芍薬、桃仁、当帰、牡丹皮、延胡索、木香
五積散,ごしゃくさん,ゴシャクサン,五積散(ごしゃくさん),麻黄、白芷、生姜、桂皮、白朮、茯苓、厚朴、陳皮、半夏、枳実、桔梗、当帰、芍薬、川芎、大棗、甘草
牛車腎気丸,ごしゃじんきがん,ゴシャジンキガン,牛車腎気丸(ごしゃじんきがん),地黄、山茱萸、山薬、沢瀉、茯苓、牡丹皮、桂皮、附子、牛膝、車前子
呉茱萸湯,ごしゅゆとう,ゴシュユトウ,呉茱萸湯(ごしゅゆとう),呉茱萸、人参、大棗、生姜
五物解毒散,ごもつげどくさん,ゴモツゲドクサン,五物解毒散(ごもつげどくさん),十薬、金銀花、荊芥、川芎、大黄
五淋散,ごりんさん,ゴリンサン,五淋散(ごりんさん),茯苓、当帰、黄芩、甘草、芍薬、山梔子
五苓散,ごれいさん,ゴレイサン,五苓散(ごれいさん),沢瀉、茯苓、猪苓、白朮、桂皮
柴葛解肌湯,さいかつげきとう,サイカツゲキトウ,柴葛解肌湯(さいかつげきとう),葛根、麻黄、桂皮、生姜、甘草、芍薬、柴胡、黄芩、半夏、石膏
